Date,Listing_ID,Listing_Title,Price,Bedrooms,Square_Ft,City
Oct 22,5253991969,Room for rent in large house include all utility's,$450,1br - ,1br - , Bakersfield
Oct 22,5255678681,Full remodel clean house ready to move in,$1399,3br - ,3br - , Bakersfield
Oct 22,5269959486,"Don't miss ,Great price to rent",$950,3br - ,3br - , South west
Oct 22,5280807143,Don't miss this remodeled beauty !!!!,$1150,4br - ,4br - , South west
Oct 22,5280788281,1 Bedroom 1 Bath,$500,1br - ,1br - , 200 East McCord
Oct 22,5280801348,Just Reduced!! Don't Miss Out on this Beautiful Home,$1475,4br - ,4br - , Fragrant Cloud Dr
Oct 22,5256688394,TheVillas at Scenic River,$1185,2br - 945ft2 - ,2br - 945ft2 - , 4015 Scenic River Lane
Oct 22,5235497968,The Villas at Scenic River,$1225,2br - 975ft2 - ,2br - 975ft2 - , Northwest Bakersfield
Oct 22,5250438207,$500 OFF THE FIRST MONTH RENT ON SELECTED APARTMENTS,$1185,2br - 945ft2 - ,2br - 945ft2 - , Northwest Bakersfield
Oct 22,5235477133,The Villas at Scenic River,$1185,2br - 945ft2 - ,2br - 945ft2 - , Northwest Bakersfield
Oct 22,5260577544,"1 bath, Available Now!! (4800 Maybrook #B)",$650,1br - ,1br - , 901 West Columbus St.
Oct 22,5280779992,Move in special! Hurry in!,$715,2br - 864ft2 - ,2br - 864ft2 - , 901 West Columbus St.
Oct 22,5280776927,Come See Our Spacious 2 Bedroom DEAL THAT CAN'T BE BEAT,$715,2br - 864ft2 - ,2br - 864ft2 - , Bakersfield
Oct 22,5280759578,Live Well With Colony Square!!,$750,3br - 970ft2 - ,3br - 970ft2 - , 901 West Columbus St.
Oct 22,5280771571,Come see our large 1 Bedroom Unit,$665,1br - 750ft2 - ,1br - 750ft2 - , 901 West Columbus St.
Oct 22,5280766453,Come See Our Spacious 2 Bedroom DEAL THAT CAN'T BE BEAT,$715,2br - 864ft2 - ,2br - 864ft2 - , Bakersfield
Oct 22,5280762729,Hermosos Apartamentos De Renta... LLAMENOS HOY!!,$750,3br - 970ft2 - ,3br - 970ft2 - , 901 West Columbus St.
Oct 22,5280761719,Gorgeous Re-Modeled Unit!! $ 200.00 off first months rent OAC,$895,2br - 864ft2 - ,2br - 864ft2 - , 3535 SOUTH H STREET
Oct 22,5249675315,Se Podria Mover Con Solo Su Deposito Vengan A Vernos,$765,2br - 860ft2 - ,2br - 860ft2 - , 901 West Columbus St.
Oct 22,5280743465,Come see our large 1 Bedroom Unit,$665,1br - 750ft2 - ,1br - 750ft2 - , NOR NE Bakersfield
Oct 22,5280735742,"1/2 OFF 1st Month, updated kitchen, windows, Heat/AC. RV Parking",$895,2br - ,2br - , 901 West Columbus St.
Oct 22,5280732935,COME SEE OUR LARGE 2 BEDROOM SPECAIL!!!!!,$715,2br - 864ft2 - ,2br - 864ft2 - , California City
Oct 22,5280632736,Property in Beautiful Location Renting Right Now*,$800,2br - 1000ft2 - ,2br - 1000ft2 - , Bakersfield
Oct 22,5270610757,***A MUST SEE*** Call Us Today To Schedule Your Appointment!!,$750,3br - 970ft2 - ,3br - 970ft2 - , 1000 Pacheco Rd
Oct 22,5280672953,CHANCE to WIN FREE RENT DEC. MOVE NOW TOTAL $1000 OAC hurry,$750,2br - 888ft2 - ,2br - 888ft2 - , Bakersfield
Oct 22,5274135737,~*~* Perros PequeÃ±os Hasta 10 Libras Son Bienvenidos*~*~,$750,3br - 970ft2 - ,3br - 970ft2 - , Bakersfield
Oct 22,5280706036,2010 Larcus Ave,$750,2br - ,2br - , South Bakersfield
Oct 22,5240427775,****4 Bedroom- Large Yard- South Bakersfield ***Save $$ Sign Lease**,$1100,4br - 1600ft2 - ,4br - 1600ft2 - , 2037 Oregon St
Oct 22,5269825548,"Nice, single house on 4 unit property, backyard, laundry",$600,1br - 600ft2 - ,1br - 600ft2 - , Chester ave y la 2nd st
Oct 22,5280668442,$350 deposito Townhome 1 rec con yarda y parking,$650,1br - ,1br - ," Bakersfield, Ca"
Oct 22,5280631634,Studio Apartment Available Now! Renting For Only $585!,$585,400ft2 - ,400ft2 - ," Bakersfield, Ca"
Oct 22,5280637484,"One Bedroom, One Bath Available Now!",$645,1br - ,1br - , Bakersfield
Oct 22,5236844036,DON'T WAIT TIL THEY ARE ALL GONE... CALL US NOW!!,$750,3br - 970ft2 - ,3br - 970ft2 - , 3605 Belle Terrace
Oct 22,5260187072,Huge Home For Rent,$1500,4br - 2500ft2 - ,4br - 2500ft2 - , Bakersfield
Oct 22,5270857172,YA NO BUSQUE MAS!! COLONY SQUARE ES PARA USTED,$750,3br - 970ft2 - ,3br - 970ft2 - , 1000 Pacheco Rd
Oct 22,5280577255,"Great specials you CAN'T pass up, call me to find out how now!",$850,2br - 888ft2 - ,2br - 888ft2 - , 107 Lincoln Oildale
Oct 22,5267917304,2BD Security Gated Complex,$650,2br - 750ft2 - ,2br - 750ft2 - , NORTH OF THE RIVER
Oct 22,5262852866,GREAT 2 BEDROOM 1 BATH AVAILABLE NOW,$650,2br - 768ft2 - ,2br - 768ft2 - , Bakersfield
Oct 22,5235401358,"A Little Holiday In October?? Don't Miss Out, Come In Today!!",$750,3br - 970ft2 - ,3br - 970ft2 - , Bakersfield
Oct 22,5277238969,MUY POCOS APARTAMENTOS QUEDAN... LLAME HOY PARA RESERVAR EL SUYO!!,$750,3br - 970ft2 - ,3br - 970ft2 - , bakersfield
Oct 22,5260027864,Affordable family home available now!,$1400,1br - 963ft2 - ,1br - 963ft2 - , southwest bakersfield
Oct 22,5244535616,Must see! Great family home ready now!,$1550,3br - ,3br - , 1234 K St
Oct 22,5277037361,Move in Special! $200 Off First Month!,$950,2br - ,2br - , bakersfield
Oct 22,5277049189,Must see! Great family home ready now!,$1550,4br - ,4br - , Silver Creek
Oct 22,5280567681,Downtown Bakersfield,$725,2br - 1040ft2 - ,2br - 1040ft2 - , silver creek
Oct 22,5280567408,Must see! Great family home ready now!,$1550,2br - 1000ft2 - ,2br - 1000ft2 - , south west
Oct 22,5269650396,DONT MISS OUT ON GREAT DEAL!,$1400,2br - ,2br - , northwest
Oct 22,5269786991,"GREAT DEAL, READY TO MOVE IN!",$1550,3br - 1275ft2 - ,3br - 1275ft2 - , Bakersfield
Oct 22,5269779094,Lovely home located in Southwest Bakersfield,$1399,5br - ,5br - , southwest bakersfield
Oct 22,5266200606,DONT MISS OUT ON GREAT DEAL,$1400,3br - 1155ft2 - ,3br - 1155ft2 - , Porterville
Oct 22,5266081892,Must see! Great family home ready now!,$950,2br - 1400ft2 - ,2br - 1400ft2 - , Christmas Tree Ln and Columbus St.
Oct 22,5266185377,Great price for family home in quiet area.,$1399,4br - ,4br - , College Heights
Oct 22,5269767658,HOME NOW READY TO MOVE IN!,$1100,3br - ,3br - , 3505 Caraway court
Oct 22,5280544052,Move in Special! $200 Off First Month!,$950,3br - ,3br - , Fairfax Rd
Oct 22,5246746193,"3 Bedroom, 2 Bath W/ Pool In SW Bakersfield",$1975,3br - ,3br - , NOR/OILDALE
Oct 22,5246706263,"3 Bed, 3 Bath In Silver Creek",$1500,3br - ,3br - , NOR/OILDALE
Oct 22,5246705002,"4 Bedrooms, 3 Bath In Rio Bravo Country Club",$2600,3br - 2550ft2 - ,3br - 2550ft2 - , Judith St
Oct 22,5246706893,"3 Bedrooms, 2 Baths In Gated Community",$1475,3br - ,3br - , SW
Oct 22,5237274582,Apartment for Rent,$845,2br - ,2br - , NW
Oct 22,5246706584,"3 Bedroom, 2 Bath Near Ridgeview",$1400,4br - 1579ft2 - ,4br - 1579ft2 - , NW
Oct 22,5246745573,"Perfect 2 Bedroom, 1 Bath Upstairs Unit",$650,4br - 1800ft2 - ,4br - 1800ft2 - , W
Oct 22,5246745287,"Perfect 2 Bed, 1 Bath",$650,3br - ,3br - , O
Oct 22,5246705451,"3 Bedroom, 2 Bath In The Vineyards",$1700,4br - ,4br - , EB
Oct 22,5280528137,Fully Furnished Lavish Home !,$2000,4br - 2446ft2 - ,4br - 2446ft2 - , EB
Oct 22,5280528600,"Gate-Controlled Entrance, Stainless Steel Appliances",$1145,3br - ,3br - , S
Oct 22,5270882607,Beautiful large 2 bedrooms available for immediate move-in,$750,3br - 1159ft2 - ,3br - 1159ft2 - , Oildale
Oct 22,5280540001,602 Yellow Meadow Court B,$925,2br - 1056ft2 - ,2br - 1056ft2 - , W
Oct 22,5280519952,3319 Redlands Drive *Remodel 3+2 College Heights *,$1250,3br - 970ft2 - ,3br - 970ft2 - , S
Oct 22,5280513924,5 Bedroom Custom Home,$1750,3br - ,3br - , Southwest
Oct 22,5280504000,House for rent,$1200,3br - ,3br - , 10321 Mount Snow Ln
Oct 22,5269731458,Large 2 bedroom 2 bath with attached garage,$925,4br - ,4br - , 28956 Clear Creek Rd.
Oct 22,5257483343,925/.....333 SYCAMORE DRIVE.......4+2....,$925,3br - 1186ft2 - ,3br - 1186ft2 - , Bakersfield
Oct 22,5258743526,910/....125 SOUTH PLYMOUTH AVE......3+2....,$910,3br - 970ft2 - ,3br - 970ft2 - , South West
Oct 22,5280485305,"3 Bedroom, 2 Bath House in NE Bakersfield",$1400,3br - 1100ft2 - ,3br - 1100ft2 - , South West
Oct 22,5271393414,4413 Appleton Way - STAN BREWER REALTY,$1200,2br - ,2br - , NW
Oct 22,5271379205,12303 Ruby River - STAN BREWER REALTY,$1500,1br - ,1br - , SW
Oct 22,5271368912,9809 Anaparno Ct. - STAN BREWER REALTY,$1600,3br - 1456ft2 - ,3br - 1456ft2 - , Bakersfield
Oct 22,5271352552,9300 High Oak - STAN BREWER REALTY,$1700,2br - 1278ft2 - ,2br - 1278ft2 - , SW Bakersfield
Oct 22,5271316881,214 Woodrow - Stan Brewer Realty,$800,2br - ,2br - , Bakersfield
Oct 22,5246461189,5416 Trabuco Canyon - STAN BREWER REALTY,$1300,,, Oildale
Oct 22,5242710737,1517 Camino Sierra - STAN BREWER REALTY,$1300,,, 901 Mohawk St
Oct 22,5235888474,4010 Cork Ln. - STAN BREWER REALTY,$1175,,, 901 Mohawk St
Oct 22,5255669767,1005 Wilson #B -Stan Brewer Realty,$400,,, Bakersfield
Oct 22,5249501966,3108 Redwood Forest - Stan Brewer Realty,$1895,,,
Oct 22,5270733948,4410 Oceanrock Ave. - STAN BREWER REALTY,$1695,,,
Oct 22,5255383089,2001 Talisman Dr - Stan Brewer Realty,$900,,,
Oct 22,5276955077,3 BEDROOM HOUSE FOR RENT NEAR OLD RIVER!!!,$1275,,,
Oct 22,5280451786,Home for Lease,$1000,,,
Oct 22,5270665488,YOUR NEW APARTMENT HOME IS WAITING FOR YOU!!!,$750,,,
Oct 22,5255514394,3217 Earnest Ct. - Stan Brewer Realty,$1200,,,
Oct 22,5255574858,7813 Animas Ct. -Stan Brewer Realty,$1395,,,
Oct 22,5269082738,8717 Rolling Bay Dr. - STAN BREWER REALTY,$1550,,,
Oct 22,5276752589,6705 Wilson Rd. - STAN BREWER REALTY,$1150,,,
Oct 22,5269637060,APARTAMENTOS RECIÃN RENOVADOS!! LLAMENOS HOY PARA MAS INFORMACION!!,$750,,,
Oct 22,5264505832,Large 3 bedroom 2 bath,$850,,,
Oct 22,5280462952,2010 Larcus Ave,$750,,,
Oct 22,5269001716,CONVENIENT LOCATION,$475,,,
Oct 22,5280427896,Jump into your new home! Greenhaven Apartment Homes!,$1225,,,
Oct 22,5280441850,"Where Great Living and Shopping Are Only Minutes Apart!.""",$1165,,,
Oct 22,5280440221,2010 Larcus Ave,$750,,,
